Kode;Keterangan;Tanggal_Lampiran;Evaluasi
ADHI;Tetap;27/07/2023;Mayor
AGRO;Berubah;27/07/2023;Mayor
ANTM;Tetap;27/07/2023;Mayor
BBNI;Berubah;27/07/2023;Mayor
BBRI;Berubah;27/07/2023;Mayor
BBTN;Tetap;27/07/2023;Mayor
BJBR;Tetap;27/07/2023;Mayor
BMRI;Berubah;27/07/2023;Mayor
BRIS;Berubah;27/07/2023;Mayor
ELSA;Tetap;27/07/2023;Mayor
JKON;Baru;27/07/2023;Mayor
JSMR;Tetap;27/07/2023;Mayor
MTEL;Berubah;27/07/2023;Mayor
PGAS;Tetap;27/07/2023;Mayor
PTBA;Tetap;27/07/2023;Mayor
PTPP;Berubah;27/07/2023;Mayor
SMGR;Tetap;27/07/2023;Mayor
TINS;Tetap;27/07/2023;Mayor
TLKM;Berubah;27/07/2023;Mayor
WIKA;Berubah;27/07/2023;Mayor
