Kode;Keterangan;Tanggal_Lampiran;Evaluasi
AALI;Tetap;25/07/2023;Mayor
ABMM;Tetap;25/07/2023;Mayor
ACES;Tetap;25/07/2023;Mayor
ADHI;Tetap;25/07/2023;Mayor
ADMR;Tetap;25/07/2023;Mayor
ADRO;Berubah;25/07/2023;Mayor
AGII;Tetap;25/07/2023;Mayor
AGRO;Berubah;25/07/2023;Mayor
AKRA;Berubah;25/07/2023;Mayor
AMRT;Tetap;25/07/2023;Mayor
ANTM;Tetap;25/07/2023;Mayor
ARTO;Tetap;25/07/2023;Mayor
ASII;Berubah;25/07/2023;Mayor
ASSA;Berubah;25/07/2023;Mayor
AVIA;Tetap;25/07/2023;Mayor
BBCA;Berubah;25/07/2023;Mayor
BBKP;Berubah;25/07/2023;Mayor
BBNI;Tetap;25/07/2023;Mayor
BBRI;Berubah;25/07/2023;Mayor
BBTN;Tetap;25/07/2023;Mayor
BDMN;Baru;25/07/2023;Mayor
BELI;Baru;25/07/2023;Mayor
BFIN;Berubah;25/07/2023;Mayor
BMRI;Berubah;25/07/2023;Mayor
BMTR;Berubah;25/07/2023;Mayor
BRIS;Berubah;25/07/2023;Mayor
BRMS;Tetap;25/07/2023;Mayor
BRPT;Tetap;25/07/2023;Mayor
BSDE;Tetap;25/07/2023;Mayor
BSSR;Tetap;25/07/2023;Mayor
BTPS;Tetap;25/07/2023;Mayor
BUKA;Berubah;25/07/2023;Mayor
CPIN;Tetap;25/07/2023;Mayor
CTRA;Berubah;25/07/2023;Mayor
DOID;Berubah;25/07/2023;Mayor
DSNG;Tetap;25/07/2023;Mayor
ELSA;Tetap;25/07/2023;Mayor
EMTK;Berubah;25/07/2023;Mayor
ENRG;Berubah;25/07/2023;Mayor
ERAA;Berubah;25/07/2023;Mayor
ESSA;Tetap;25/07/2023;Mayor
EXCL;Berubah;25/07/2023;Mayor
GGRM;Berubah;25/07/2023;Mayor
GOTO;Berubah;25/07/2023;Mayor
HEAL;Berubah;25/07/2023;Mayor
HMSP;Tetap;25/07/2023;Mayor
HRUM;Berubah;25/07/2023;Mayor
ICBP;Tetap;25/07/2023;Mayor
INCO;Berubah;25/07/2023;Mayor
INDF;Tetap;25/07/2023;Mayor
INDY;Berubah;25/07/2023;Mayor
INKP;Tetap;25/07/2023;Mayor
INTP;Tetap;25/07/2023;Mayor
ISAT;Tetap;25/07/2023;Mayor
ITMG;Berubah;25/07/2023;Mayor
JKON;Baru;25/07/2023;Mayor
JPFA;Tetap;25/07/2023;Mayor
JSMR;Tetap;25/07/2023;Mayor
KLBF;Tetap;25/07/2023;Mayor
LPPF;Berubah;25/07/2023;Mayor
LSIP;Tetap;25/07/2023;Mayor
MAPI;Tetap;25/07/2023;Mayor
MDKA;Berubah;25/07/2023;Mayor
MEDC;Berubah;25/07/2023;Mayor
MIKA;Tetap;25/07/2023;Mayor
MMIX;Baru;25/07/2023;Mayor
MNCN;Berubah;25/07/2023;Mayor
MPMX;Berubah;25/07/2023;Mayor
MSIN;Baru;25/07/2023;Mayor
MTEL;Berubah;25/07/2023;Mayor
MTMH;Berubah;25/07/2023;Mayor
MYOR;Tetap;25/07/2023;Mayor
OMED;Baru;25/07/2023;Mayor
PGAS;Tetap;25/07/2023;Mayor
PNBN;Berubah;25/07/2023;Mayor
PNIN;Baru;25/07/2023;Mayor
PNLF;Tetap;25/07/2023;Mayor
PTBA;Tetap;25/07/2023;Mayor
PTPP;Berubah;25/07/2023;Mayor
PWON;Berubah;25/07/2023;Mayor
RAJA;Berubah;25/07/2023;Mayor
RMKE;Tetap;25/07/2023;Mayor
SCMA;Berubah;25/07/2023;Mayor
SIDO;Berubah;25/07/2023;Mayor
SMDR;Berubah;25/07/2023;Mayor
SMGR;Tetap;25/07/2023;Mayor
SMRA;Berubah;25/07/2023;Mayor
SRTG;Berubah;25/07/2023;Mayor
SSMS;Baru;25/07/2023;Mayor
TAPG;Berubah;25/07/2023;Mayor
TBIG;Berubah;25/07/2023;Mayor
TINS;Tetap;25/07/2023;Mayor
TKIM;Berubah;25/07/2023;Mayor
TLKM;Berubah;25/07/2023;Mayor
TOWR;Berubah;25/07/2023;Mayor
TPIA;Tetap;25/07/2023;Mayor
UNTR;Berubah;25/07/2023;Mayor
UNVR;Berubah;25/07/2023;Mayor
WIFI;Berubah;25/07/2023;Mayor
WIKA;Berubah;25/07/2023;Mayor
