Kode;Keterangan;Tanggal_Lampiran;Evaluasi
ACES;Tetap;25/07/2023;Mayor
ADRO;Berubah;25/07/2023;Mayor
AKRA;Berubah;25/07/2023;Mayor
AMRT;Tetap;25/07/2023;Mayor
ANTM;Tetap;25/07/2023;Mayor
ARTO;Tetap;25/07/2023;Mayor
ASII;Berubah;25/07/2023;Mayor
BBCA;Berubah;25/07/2023;Mayor
BBNI;Tetap;25/07/2023;Mayor
BBRI;Berubah;25/07/2023;Mayor
BBTN;Tetap;25/07/2023;Mayor
BMRI;Tetap;25/07/2023;Mayor
BRIS;Berubah;25/07/2023;Mayor
BRPT;Tetap;25/07/2023;Mayor
BUKA;Berubah;25/07/2023;Mayor
CPIN;Tetap;25/07/2023;Mayor
EMTK;Berubah;25/07/2023;Mayor
ESSA;Tetap;25/07/2023;Mayor
EXCL;Berubah;25/07/2023;Mayor
GGRM;Baru;25/07/2023;Mayor
GOTO;Berubah;25/07/2023;Mayor
HRUM;Berubah;25/07/2023;Mayor
ICBP;Tetap;25/07/2023;Mayor
INCO;Berubah;25/07/2023;Mayor
INDF;Tetap;25/07/2023;Mayor
INDY;Berubah;25/07/2023;Mayor
INKP;Tetap;25/07/2023;Mayor
INTP;Tetap;25/07/2023;Mayor
ITMG;Berubah;25/07/2023;Mayor
KLBF;Tetap;25/07/2023;Mayor
MAPI;Baru;25/07/2023;Mayor
MDKA;Berubah;25/07/2023;Mayor
MEDC;Berubah;25/07/2023;Mayor
PGAS;Tetap;25/07/2023;Mayor
PTBA;Tetap;25/07/2023;Mayor
SCMA;Berubah;25/07/2023;Mayor
SIDO;Berubah;25/07/2023;Mayor
SMGR;Tetap;25/07/2023;Mayor
SRTG;Berubah;25/07/2023;Mayor
TBIG;Berubah;25/07/2023;Mayor
TLKM;Berubah;25/07/2023;Mayor
TOWR;Berubah;25/07/2023;Mayor
TPIA;Tetap;25/07/2023;Mayor
UNTR;Berubah;25/07/2023;Mayor
UNVR;Berubah;25/07/2023;Mayor
